Título,Descripción,Duración,Enlace
Acorralados,"Una banda de ladrones que huye tras atracar un banco se topa con una familia que se encuentra de acampada. Aprovechando la ocasión, los criminales esconderán el dinero robado en su coche mientras éstos descansan",1hr 28 min,https://pluto.tv/on-demand/movies/64d3c8ea5f3440001322d2bf
Contrario de Sangre,"Dimitri y James, dos poderosos asesinos de élite a sueldo del gobierno, se reencuentran después de su último trabajo en el sudeste asiático.",1hr 26 min,https://pluto.tv/on-demand/movies/64dbbc04177f7000136eae77
Luna Llena,Un pistolero del salvaje oeste regresa de la tumba para evitar que una banda de hombres lobo sedientos de sangre aterrorice a un pequeño pueblo.,1hr 32 min,https://pluto.tv/on-demand/movies/64764230662d03001b221c43
Balas Voladoras,"Durante un período de batallas entre señores de la guerra en el sur de China, se producen varios asesinatos en una fábrica de municiones. Con un detalle: las balas desaparecen. Un detective y su compañero, un experto tirador, inician la investigación.",1hr 47 min,https://pluto.tv/on-demand/movies/641b3b266113a5001a4a46f5
Los Guerreros,"Los ejércitos de la noche tienen 100.000 hombres. Superan a la policía en 5 a 1. Y esta noche, van por los Warriors.",1hr 33 min,https://pluto.tv/on-demand/movies/5e9f000e57d2e0001a099a41
Conectado,"Un cobrador de deudas recibe una llamada de una mujer que es secuestrada por una pandilla desconocida. Él piensa que es una broma, pero pronto se da cuenta de que no es una broma.",1hr 50 min,https://pluto.tv/on-demand/movies/64022a67f9b2f6001422febb
El Amuleto Sagrado,"Cuando una valiosa cuenta es robada por miembros renegados del misterioso Clan Géminis, los protectores de la cuenta recurren a la ayuda de algunos antiguos miembros para recuperarla y llevar a los malvados discípulos ante la justicia.",1hr 42 min,https://pluto.tv/on-demand/movies/641c6c421a5081001a49b4ae
Operación Overlord,"Una semana antes de asaltar las playas de Normandía, dos soldados estadounidenses se infiltran en un complejo abandonado para rescatar a un prisionero de guerra de las garras del régimen nazi.",1hr 20 min,https://pluto.tv/on-demand/movies/627c0a1255812e0013edde9f
Big game,Un joven que está acampando en el bosque ayuda a rescatar al Presidente de los Estados Unidos cuando el Air Force One es derribado cerca de donde está su camping.,1hr 30 min,https://pluto.tv/on-demand/movies/60e4703583c54e001398aa84
End of a Gun,"Un guardia de seguridad del centro comercial, y ex-agente federal, se cruza con el ejecutor de un narcotraficante después de que salva a una mujer del peligro.",1hr 26 min,https://pluto.tv/on-demand/movies/60e6fabdaf6eb3001305abf5
Killing Down,"Es 1993. Siete años después de que sucediera. Pero Steven Down no puede dejarlo pasar. Es un hombre paranoico, preocupado y desordenado. Un veterano del ejército de los EE. UU. Que busca la verdad.",1hr 49 min,https://pluto.tv/on-demand/movies/602436368d35a80013ee1b24
Shinjuku Incident,Un simple inmigrante chino libra una peligrosa guerra contra una de las organizaciones criminales más poderosas del planeta.,1hr 59 min,https://pluto.tv/on-demand/movies/64132527757193001313367e
RedBad La Invasión de los Francos,"Cuando el monje Bonifatius es asesinado en una ciudad holandesa llamada Dokkum, la sospecha recae sobre los guerreros bárbaros. asesinados a sangre fría, ¿o es sólo la forma cristiana de ver la historia?",2hr 40 min,https://pluto.tv/on-demand/movies/6266bd143f03ed0013c8785e
Ataque de Los Zombis,Un empleado mediocre de un fabricante de armas debe sobrevivir al caos dentro de la oficina cuando sus colegas se convierten en maníacos asesinos después de tomar una bebida misteriosa.,1hr 28 min,https://pluto.tv/on-demand/movies/640f596485e48c001aa0b444
Bulletproof Monk,"Un monje tibetano inmortal se convierte en el mentor de un chico a quien enseña a proteger un viejo pergamino que el monje ha cuidado durante sesenta años. Con la ayuda de una escurridiza joven, ambos combatirán contra un malvado maestro de kung fu.",1hr 44 min,https://pluto.tv/on-demand/movies/5dfd2e7abe7e53bc0c65d4ea
Revolt,La historia de la última batalla entre la humanidad y una invasión alienígena. Un soldado de USA y una ayudante francesa se unen para sobrevivir. Su unión será puesta a prueba mientras buscan refugio.,1hr 27 min,https://pluto.tv/on-demand/movies/62d6dd7a18de5200137c1611
Ciudad Sitiada,"Cuando el payaso de circo Sunny se transforma en un mutante con superpoderes, se enfrenta a sus compañeros, que fueron alterados en el mismo accidente y ahora están usando sus poderes para causar estragos en la ciudad.",1hr 51 min,https://pluto.tv/on-demand/movies/62bc8eed5d2a85001328b61a
The Package,Un mensajero de un criminal local debe entregar un paquete misterioso mientras es perseguido por una horda de gángsters inusuales.,1hr 35 min,https://pluto.tv/on-demand/movies/5e601a10725522001444fae1
Revolver,El jugador de cartas Jake Green juega en una partida con consecuencias potencialmente mortales.,1hr 51 min,https://pluto.tv/on-demand/movies/63caf2e2f97d010013fb1263
Danny El Perro,Un hombre esclavizado por la mafia desde la infancia y criado para comportarse como un perro de presa humano escapa de sus captores e intenta comenzar una nueva vida.,1hr 42 min,https://pluto.tv/on-demand/movies/63adf059bc65210013526431
El infierno de Malone,"Cuando el detective privado Malone intenta recuperar un maletín de un hotel de mala muerte, cae en una trampa. Las balas y la sangre vuelan mientras Malone lucha contra un ejército de matones para proteger no solo el caso, sino también a un cliente bomba.",1hr 36 min,https://pluto.tv/on-demand/movies/63adcd31e21bf90013c22ed4
Wasabi,"En Japón, para el funeral de su amor perdido hace mucho, un inspector francés duro descubre que también tiene una hija adolescente y que su vida corre peligro por la Yakuza.",1hr 33 min,https://pluto.tv/on-demand/movies/63ac63cfeb85c500132e569c
One last heist,Una banda criminal de veteranos intenta llevar a cabo el robo más grande en la historia de Inglaterra en una instalación de depósito de seguridad subterránea con un valor estimado de 200 millones de libras esterlinas.,1hr 32 min,https://pluto.tv/on-demand/movies/63adca62501aab0013b52af7
Vacaciones en Mumbay,Virat es un Agente Secreto que está de vacaciones en Mumbai. Durante su viaje en autobús hay un robo y los hechos llevan a que Virat se involucre en algo más peligroso buscando al cabecilla de una célula terrorista que quiere sembrar el pánico en Mumbai.,1hr 59 min,https://pluto.tv/on-demand/movies/639cc5d388bc20001348480a
The Good Thief,Un viejo jugador (Nick Nolte) en una racha perdedora intenta robar un casino en Montecarlo. Reversión de Bob le Flambeur (1956).,1hr 49 min,https://pluto.tv/on-demand/movies/6398a183a6bb3b00146b3430
Hembra alfa,"""Hembra alfa"" es una hora irreverente que rastrea la evolución de habilidades femeninas únicas desde las praderas de África hasta las torres de oficinas de Manhattan.",Thriller,https://pluto.tv/on-demand/movies/6398a88a8ba71d0013e3bd2a
El Defensor,"Lance y su equipo son los guardaespaldas del jefe de la NSA, quien es enviado por el presidente a una reunión secreta en un hotel vacío en las afueras de Bucarest. Durante la reunión, el hotel es atacado.",1hr 31 min,https://pluto.tv/on-demand/movies/6336f6669d9b7c00133f34c1
Velocidad sin Límites,"Una bella mujer, líder de una banda de música, se encuentra envuelta en una competición ilegal de carreras de coches que se llevan a cabo para entretener a millonarios aburridos.",1hr 33 min,https://pluto.tv/on-demand/movies/62fea15020d41e001a6e6230
El asalto del vuelo,"Basado en una historia real, un equipo SWAT tiene la tarea de asaltar un avión de Air France secuestrado para salvar a sus pasajeros.",1hr 31 min,https://pluto.tv/on-demand/movies/62d6fc75997d5700138e41a3
Samurai X 3,"El duelo entre Kenshin Himura y el maligno Shishio Makoto sigue sin resolverse. El conflicto entre los dos guerreros decidirá el destino de Japón, y pondrá un bombástico punto final a la memorable adaptación cinematográfica del manga de Nobuhiro Watsuki.",2hr 14 min,https://pluto.tv/on-demand/movies/6310f5f7bc1f1600132c311f
Samurai X 2,"Kenshin Himura se enfrenta al malvado Makoto Shishio, que intenta derrocar al gobierno Meiji. El destino del país pende de un hilo cuando Kenshin Himura toma la espada que prometió no volver a desenvainar.",2hr 18 min,https://pluto.tv/on-demand/movies/6310f48bd1f9a40013b7c70c
Samurai X 1: Rurouni Kenshin,Un ex asesino que ha decidido no volver a matar nunca más tiene su voto a prueba.,2hr 14 min,https://pluto.tv/on-demand/movies/6310f32337c5800013b69eee
Bruce Lee - My Brother,"Bruce Lee, My Brother es una dramática película biográfica de la leyenda homónima de las artes marciales contada por su hermano menor, Robert Lee.",2hr 9 min,https://pluto.tv/on-demand/movies/5e552dc65c1e25001a24f34a
Guerra de rebeldes,Un grupo de fuerzas especiales de élite de diferentes nacionalidades es enviado para combatir una creciente amenaza terrorista clandestina en el Oriente Medio.,1hr 43 min,https://pluto.tv/on-demand/movies/5f7b86f6e4b56900138b7644
Police Story 7,"Un hombre que busca la liberación de un prisionero de mucho tiempo toma como rehenes a un oficial de policía, a su hija y a un grupo de extraños.",1hr 50 min,https://pluto.tv/on-demand/movies/60e6fac0af6eb3001305ac46
Entrenado para matar,Un agente del servicio secreto británico se enfrenta a la tarea de perseguir y eliminar a un terrorista suicida nacido en Gran Bretaña y a toda su célula terrorista.,1hr 43 min,https://pluto.tv/on-demand/movies/5f3fd8b0ad190c001a52e96c
Cazadores de hombres,"Basada en la novela del japonés Juko Nishimura, la película sigue a un fiscal que ve manchado su expediente por una violación, asesinato y robo, por lo que se dispone a limpiar su nombre.",1hr 49 min,https://pluto.tv/on-demand/movies/5f7b86b3e4b56900138b727f
Carrera sin Reglas,"Con una bomba de tiempo en su cuello, un joven corre contra el reloj y todo tipo de enemigos al ir de un extremo a otro de la ciudad para intentar salvarse a sí mismo y a su novia.",1hr 28 min,https://pluto.tv/on-demand/movies/62cc67fa18de52001378c2fa
El forastero,"Gira en torno a un contratista militar británico Lex Walker a quien se le dice que su hija ha muerto. Cuando llega a Los Ángeles descubre que el cuerpo no es el de su hija, y comienza una investigación.",1hr 34 min,https://pluto.tv/on-demand/movies/62cc2b869f6f4700149304c9
La Invasión – Ocupación Alienígena,"Dos años después de que los extraterrestres aterrizaran en la Tierra, los sobrevivientes de Sydney, Australia, luchan en una guerra desesperada mientras el número de muertos continúa aumentando. Una última batalla es la esperanza de la humanidad.",2hr 8 min,https://pluto.tv/on-demand/movies/666c5af8626cfe00136f1337
La Colonia,"Bajo la superficie helada, los sobrevivientes de la Colonia 7 luchan mientras los alimentos y las temperaturas bajan. Luego de una expedición descubren una amenaza peor de lo imaginado.",1hr 34 min,https://pluto.tv/on-demand/movies/5f7357d176c54900134c36a3
La Invasión,"Algunos residentes de la ciudad tienen que unirse después de una devastadora invasión alienígena. Mientras luchan por sobrevivir, se dan cuenta de que deben ir un paso por delante de sus atacantes.",1hr 59 min,https://pluto.tv/on-demand/movies/65d4aac68cea3c0013b6fb3f
El imperio prohibido,"Principios del siglo 18. El cartógrafo Cartographer Jonathan Green emprende un viaje científico por Europa hacia el este. Luego de pasar por Transilvania y habiendo cruzado los Montes Cárpatos, se encuentra en una pequeña villa perdida en los bosques.",1hr 51 min,https://pluto.tv/on-demand/movies/65cfb7bf6ef49d00138450b7
¡Han llegado!,El astrónomo de radio Zane Zaminsky cree que ha captado un ruido cósmico que señala inteligencia extraterrestre.,Thriller,https://pluto.tv/
Planetarium,"""Planetarium"" sigue el viaje de hermanas que se cree que poseen la habilidad sobrenatural de conectarse con fantasmas. Se cruzan con un visionario productor francés mientras actúan en París.",1hr 48 min,https://pluto.tv/on-demand/movies/65c3aea6b65b870013e9b157
Dredd,"Una prostituta convertida en narcotraficante pretende apoderarse de la futurista ciudad de Mega City One. El juez Dredd, el principal miembro de una fuerza policial de élite, es la última esperanza de la ciudad.",1hr 36 min,https://pluto.tv/on-demand/movies/65c114122e62fe0013dd48a6
Cypher,"Un hombre confiado y desencantado se encuentra trabajando como espía en el peligroso y arriesgado mundo del espionaje corporativo. Rápidamente superándose, se une a una misteriosa mujer fatal.",1hr 35 min,https://pluto.tv/on-demand/movies/641c7e9b4f1ca3001a87aeaf
Barbarella,"El escenario es el planeta Lythion en el año 40000, cuando Barbarella (Jane Fonda) hace un aterrizaje forzoso mientras viaja a través del espacio. Ella actúa como James Bond en femenino, vence al mal en formas de robots y monstruos.",1hr 38 min,https://pluto.tv/on-demand/movies/5e5d7963e3406e0013955d79
Jeruzalem,Dos estadounidenses de vacaciones se unen a un estudiante de antropología en un viaje por Jerusalén al que llegan justo cuando se desata el terrorífico apocalipsis bíblico.,1hr 33 min,https://pluto.tv/on-demand/movies/6408c4b6803fcf0013f19449
Titanic II,"En el centenario del viaje original, un moderno y lujoso barco bautizado como ""Titanic 2"" sigue el camino de su homónimo.",1hr 30 min,https://pluto.tv/on-demand/movies/5dc92ce0010fbb45854dc749
Secuestro Extraterrestre,"La familia McPherson está reunida para la tradicional cena de Acción de Gracias, pero nunca se imaginaron que tendrían unos visitantes extraterrestres. Esta es la historia de una familia desaparecida.",Thriller,https://pluto.tv/on-demand/movies/627be950c51411001346d6c6
Crónicas Mutantes,"En el siglo XXIII, el mayor Mitch Hunter (Jane) lidera una lucha contra un ejército de necromutantes que habitan en el mundo subterráneo.",1hr 51 min,https://pluto.tv/on-demand/movies/608ab54b34651500131a685a
Hotel de Dinosaurios,"Una mujer, desesperada por dinero, acepta participar en un programa clandestino de juegos, solo para descubrir que ella y los demás concursantes están siendo cazados por criaturas prehistóricas.",Thriller,https://pluto.tv/on-demand/movies/627c0d5055812e0013ede657
Apocalipsis en Stonehenge,"Cuando un grupo de arqueólogos desentierra un esqueleto humano cerca del monumento histórico de Stonehenge, se encuentra también una antigua máquina escondida bajo tierra.",1hr 31 min,https://pluto.tv/on-demand/movies/5f50084766db1f001be35a14
El Monstruo de Metal,Un satélite ruso se sale de órbita e impacta en la Tierra. Dos hermanos encuentran los restos del artefacto y descubren que contiene una extraña sustancia alienígena que confiere vida al hierro.,1hr 30 min,https://pluto.tv/on-demand/movies/5f49382917dc86001a79fed1
Ogre,Un ogro vicioso gobierna sobre una ciudad que ha estado estancada en el tiempo desde el siglo XIX.,1hr 30 min,https://pluto.tv/on-demand/movies/5f3fd8b8ad190c001a52ea51
Ahora estamos solos,"En un futuro no muy lejano, algo dejó al planeta devastado. Durante mucho tiempo, De se considera el último representante de la humanidad. Acostumbrado a la soledad, casi se siente feliz con la tranquilidad de los días.",1hr 39 min,https://pluto.tv/on-demand/movies/6141f41bbce9e900135a5a3d
Santuario: Población Uno,"Un joven idealista; Ethan, se queda buscando a su familia mientras lucha contra los infectados, la milicia Med-Ex y los merodeadores sedientos de sangre, y los fantasmas de su pasado.",1hr 16 min,https://pluto.tv/on-demand/movies/628cfe6140fe890013b915e6
Poseidón Rex,"Cuenta como una pequeña isla, cerca de la costa de Belice sufre aterrorizada el ataque de un mortal depredador del pasado remoto del planeta.",1hr 19 min,https://pluto.tv/on-demand/movies/603e621a049634001a5f3372
Invasión U.F.O.,Un grupo de amigos debe hacer frente a un ataque alienígena en un pequeño pueblo inglés.,1hr 41 min,https://pluto.tv/on-demand/movies/60895f6b6b9d17001ac3cda9
Meteorito,"Después de que un meteorito choca con la Tierra, un ranchero solitario y una joven perdida huyen de mercenarios viciosos.",1hr 24 min,https://pluto.tv/on-demand/movies/627c0d6255812e0013ede85d
COMBUSTIÓN HUMANA,"Desde los tiempos bíblicos y hasta el día de hoy, la historia está llena de narraciones desconcertantes sobre la combustión humana espontánea, en la cual, sin razón explicable, un ser humano saludable de pronto se incendia de adentro hacia afuera.",50 min,https://pluto.tv/on-demand/movies/639a3ab9377c6f00134bb2e4
Los Muertos,"El teniente Brian Murphy deberá formar equipo con Daniel Dembele para enfrentarse y sobrevivir al terrorífico peligro que los acecha, encarnado en una horda de muertos vivientes en el continente africano.",1hr 40 min,https://pluto.tv/on-demand/movies/6346b61bf030950013a0cc44
El proyecto supermente,"En Los Ángeles, la tierra comienza a temblar y los edificios se vienen abajo. La gente entra en pánico. Cuando se procede a revisar los daños todo se encuentra como si nada hubiera pasado, excepto por las calles repletas de cadáveres.",1hr 28 min,https://pluto.tv/on-demand/movies/5f4817bb17dc86001a79e461
Air Collision,"Cuando una tormenta solar destruye el sistema de control de tráfico aéreo, Air Force One y un avión de pasajeros están bloqueados en un curso de colisión en los cielos sobre el medio oeste.",1hr 32 min,https://pluto.tv/on-demand/movies/5e505287f55660c6ac815027
El Dador de Recuerdos,Cuenta la historia de un mundo perfecto en el que todos sus habitantes son felices de forma artificial. Los que se encuentran en el poder han eliminado cualquier motivo que pudiera suponer un enfrentamiento o discusión.,1hr 37 min,https://pluto.tv/on-demand/movies/5f7b86f0e4b56900138b75c4
Desde las profundidades,"Después de sobrevivir al ataque de un tiburón, una joven sufre pesadillas de ser acechada en el mar oscuro por un depredador voraz, y alucinaciones de las visitas de su hermana y su novio, ambos muertos en el ataque.",1hr 25 min,https://pluto.tv/on-demand/movies/60ba3c7084ffb00013529671
Target Earth,"Solo Tammy conoce el plan de batalla para la inminente invasión alienígena de la Tierra, y se convierte en el objetivo de un asesino federal programado para matarla. ¿Podrá el policía local Sam Adams protegerla, averiguar el horario y salvar el planeta?",1hr 32 min,https://pluto.tv/on-demand/movies/6283a5ece6e53d0013666946
Trébol Maldito,"Un malvado duende que ha sido encarcelado en las raíces de un viejo roble es accidentalmente liberado en el Día de San Patricio. Una vez libre, lleva a cabo su sangrienta venganza sobre las personas que originalmente lo encarcelaron.",1hr 30 min,https://pluto.tv/on-demand/movies/62befb1c8fd582001332b55b
"Young Ones, la próxima generación","En un futuro en donde escasea el agua, un granjero defiende su tierra y espera rejuvenecer sus tierras. Sin embargo, el novio de su hija intenta robarle sus propiedades.",1hr 37 min,https://pluto.tv/on-demand/movies/604b91f1b2b870001a05f115
Mega Piranha,Una cepa mutante de pirañas feroces gigantes escapan del Amazonas y se dirigen a Florida.,1hr 32 min,https://pluto.tv/on-demand/movies/5e50535b1eeaf7c7a2d0a893
Kaw,"Cuando los cuervos comienzan a atacar a los humanos en un pequeño pueblo, no hay donde esconderse. Hay muy poco tiempo para averiguar por qué sucede esto, y los cuervos aprenden rápidamente.",1hr 32 min,https://pluto.tv/on-demand/movies/615b13a734ee6100132be75e
El agujero negro,Un thriller de ciencia ficción centrado en un violinista de secundaria que es testigo del colapso del espacio y el tiempo.,1hr 51 min,https://pluto.tv/on-demand/movies/62b225ba65c30400136c1774
Araña en el ático,"Un locutor de radio, desesperado por los índices de audiencia, investiga una casa misteriosa en el campo, solo para descubrir que está habitada por arañas gigantes que están empeñadas en proteger su tierra.",1hr 22 min,https://pluto.tv/on-demand/movies/627c0a2455812e0013ede101
2-Headed Shark Attack,"Después de que su bote es hundido por un tiburón mutado de dos cabezas, los sobrevivientes escapan a un atolón desierto. Pero cuando comienza a inundarse, nadie está a salvo de la doble mandíbula del monstruo.",1hr 28 min,https://pluto.tv/on-demand/movies/5ffc9a28ce98800013eb1edd
Seeds Of Destruction,Los militantes ecologistas Kate y Joe son testigos y graban en vídeo el rápido crecimiento de un sistema de raíces gigantescas que puede provocar un fuerte terremoto en todo el país.,1hr 30 min,https://pluto.tv/on-demand/movies/603e621d049634001a5f33a8
Dark Storm,"Un grupo de científicos acaba de inventar el Eruptor. De repente, el aparato se descontrola y se vuelve contra uno de los especialistas que, en vez de morir, adquiere superpoderes.",1hr 29 min,https://pluto.tv/on-demand/movies/60f096b50bb675001323d41f
Serpiente de fuego,Una enorme bola de fuego del sol golpea la Tierra y desata un demonio de fuego invencible que comienza a poseer a los humanos.,1hr 29 min,https://pluto.tv/on-demand/movies/5f3fd8e3ad190c001a52ee75
Catástrofe helada,"Es Navidad y todo está tranquilo en un apacible pueblo mientras la nieve cubre cada rincón. Sin embargo, la tragedia empieza cuando un terrorífico meteorito se estrella y amenaza con dejar cristalizada a toda la población.",1hr 27 min,https://pluto.tv/on-demand/movies/5f3fd8c8ad190c001a52ebed
Apocalypse Pompeii,"Cuando un antiguo comando de Operaciones Especiales visita Pompeya, su esposa y su hija quedan atrapadas en el Monte Vesubio que entra en erupción con una fuerza masiva.",1hr 27 min,https://pluto.tv/on-demand/movies/5dc93103f08b13358b706a02
Monstruos de Guerra,"Algo ha despertado, y una ciudad debe trabajar en conjunto antes de que un gorila gigante, un tiranosaurio rex y otras criaturas mortales recuperen el planeta.",1hr 20 min,https://pluto.tv/on-demand/movies/627c0a3b55812e0013ede34a
10.0 Earthquake,"Mientras una serie de terremotos comienzan a destrozar Los Ángeles, Emily y Jason corren por la ciudad en ruinas con la esperanza de desviar el epicentro para salvar millones de vidas.",1hr 27 min,https://pluto.tv/on-demand/movies/612511bed24f5e00135e9db2
Abominable,"Un hombre, lisiado en un accidente de escalada, regresa a su cabaña en el bosque como parte de su rehabilitación, pero no estaba preparado para el ataque inminente.",1hr 32 min,https://pluto.tv/on-demand/movies/62f55050ce5c48001b1b29b6
Teana 10.000 años después,"Miles de años en el futuro, un padre, un hijo y su perro, recorren el mundo contando historias del pasado que llevó a la destrucción de la humanidad. Sin que ellos lo sepan, la principal causa del cataclismo está a punto de regresar",1hr 37 min,https://pluto.tv/on-demand/movies/62bf3921daab810013cd3f99
La rebelión de los muertos vivientes,Un misterioso virus ha diezmado la población y ha convertido a miles en zombies. El gobierno desarrolla un videojuego llamado Dead Trigger y quienes maten más zombies en el juego serán reclutados para combatir a los muertos vivientes.,1hr 31 min,https://pluto.tv/on-demand/movies/62c87372bcc69800132920e0
Phantom Racer,Un piloto de carreras regresa de la muerte para buscar venganza contra su antiguo rival.,1hr 27 min,https://pluto.tv/on-demand/movies/615b13bd34ee6100132beb7b
Código Oculto,"Branded nos introduce en un mundo donde las corporaciones, activando un código genético en el ser humano han desencadenado una conspiración mundial para poder controlar sus mentes, manteniéndolos así en un estado de dependencia.",1hr 46 min,https://pluto.tv/on-demand/movies/60895f706b9d17001ac3ce19
Pánico en seattle,"Cuando una gran tormenta amenaza el Noroeste del Pacífico, una familia debe encontrarse y trabajar en conjunto para detenerla antes de que se salga de control y aniquile a todo el planeta.",1hr 28 min,https://pluto.tv/on-demand/movies/61826d851be642001a2dfeb8
Nazis at the Center of the Earth,Investigadores en la Antártida son secuestrados por un equipo de soldados de asalto enmascarados. Se arrastran profundamente a un continente oculto en el centro de la tierra.,1hr 29 min,https://pluto.tv/on-demand/movies/5e50536f808a36c7b429c045
Battle of Los Angeles,"En febrero de 1942, las fuerzas estadounidenses atacaron un objeto volador no identificado sobre Los Ángeles. Ahora, casi 70 años después, los invasores extraterrestres han regresado.",1hr 31 min,https://pluto.tv/on-demand/movies/5fb59ae8bf80f1001386210f
Tormenta terrestre,"Un asteroide golpea el lado oscuro de la luna, desencadenando cambios climáticos en la tierra.",1hr 29 min,https://pluto.tv/on-demand/movies/615b139834ee6100132be4a9
Super Cyclone,"Cuando un súper ciclón amenaza a toda la costa este de Estados Unidos, un meteorólogo solitario y un ingeniero petrolero deben luchar contra los elementos para detener la amenaza.",1hr 29 min,https://pluto.tv/on-demand/movies/5dc93151045f36ab79e54d47
Age of Dinosaurs,"Usando una tecnología innovadora de regeneración de carne, una empresa de biotecnología crea un conjunto de dinosaurios vivos. Pero cuando las criaturas escapan de la exhibición de su museo y aterrorizan a Los Ángeles.",1hr 28 min,https://pluto.tv/on-demand/movies/5daf9a82c5c2f64fb8ba363f
Age of Ice,"Los terremotos masivos abren la placa tectónica árabe, lo que produce temperaturas de congelación que serán fatales al anochecer.",1hr 24 min,https://pluto.tv/on-demand/movies/5e505277e1b2a8c69a9b68f3
Oceans Rising,"Un científico construye un arca enorme después de que se ignoran sus advertencias de una inundación que destruirá la Tierra. El desastre es inevitable, y los que difamaron al científico suben al arca desesperados, antes de que el mundo se ahogue.",1hr 27 min,https://pluto.tv/on-demand/movies/5fb59a4ac02a73001449dd97
Solo Por Dinero,"Stephanie Plum, desempleada y recién divorciada, consigue un trabajo en el negocio de fianzas de su primo, donde su primera misión la pone tras la pista de un policía local buscado por su pasado romántico.",1hr 31 min,https://pluto.tv/on-demand/movies/66a90873b20e79001312fe75
Flypaper,Una extraña coincidencia hace que dos bandas atraquen el mismo banco a la misma hora. Un peculiar cliente (Patrick Dempsey) y una resuelta cajera (Ashley Judd) pondrán en juego su ingenio y su valor para intentar frustrar el golpe.,1hr 27 min,https://pluto.tv/on-demand/movies/66a94bec9700930013352ad4
Por Accidente para Siempre,"Simon, el verdadero autor de las novelas románticas de 'Sally Carmichael', oculta su identidad para mantener su reputación.",1hr 23 min,https://pluto.tv/on-demand/movies/66ab9c11970093001349d05b
Trust the Man,"Historia de dos parejas de Nueva York: una actriz de éxito está casada con un hombre que, además de no trabajar, es adicto al sexo. El hermano de la actriz es también un vago que sale con una aspirante a novelista.",1hr 39 min,https://pluto.tv/on-demand/movies/66a7d8a697009300132a4b2c
Juno,"Cuando Juno (Ellen Page) queda embarazada sin planearlo de su mejor amigo, Bleeker (Michael Cera), la joven poco convencional decide tomar una ruta inusual para encontrar una pareja adecuada de padres adoptivos para criar a su hijo por nacer.",1hr 36 min,https://pluto.tv/on-demand/movies/66c4acad61349300130830ff
Locura Por El Tiempo,Un estudiante universitario construye una máquina del tiempo para evitar que su novia rompa con él. Basado en el cortometraje del mismo nombre.,1hr 45 min,https://pluto.tv/on-demand/movies/66c4af7c2fca060013505667
20 años no son nada,"Alice trabaja para la revista ""Rebelle"", donde necesita soltarse el pelo para conseguir un ascenso. Cuando Balthazar le devuelve un USB perdido a Alice, la apariencia de salir con alguien de la mitad de su edad la ayuda. ¿Se vuelve real?",1hr 30 min,https://pluto.tv/on-demand/movies/62bc9cfbe9e8c0001370991c
El Placer de Su Compañia,"Un chico le propone matrimonio a su novia, que cae muerta. Su mejor amiga intenta que salga con otras mujeres, pero él solo habla de su gran amor muerto.",1hr 31 min,https://pluto.tv/on-demand/movies/641c70834f1ca3001a878741
Sisters & Brothers,Comedia sobre el amor y la disfunción compartida entre cuatro grupos de hermanos.,1hr 26 min,https://pluto.tv/on-demand/movies/62cc55f575b9dc0013c81abb
Pena Ajena,"Shaun está conforme por ser un surfer brillante, pero desenfocado y haragán, hasta que el día en que descubre una novela por el aclamado autor Martin Skinner.",1hr 22 min,https://pluto.tv/on-demand/movies/5e5d43e34698db001ab20d72
Un Día para Siempre,"Zazie es invitada a la boda de su mejor amiga. Ella decide hacer todo lo posible para evitar lo que a sus ojos es el error de su vida. Pero cuando se encuentra atrapada en la línea de tiempo de la boda, las cosas se complican.",1hr 32 min,https://pluto.tv/on-demand/movies/666c5afb626cfe00136f145b
Clue,Conoce a todos los sospechosos infames y descubre todas sus jugadas bajas. Te encantarán sus actividades viles en tanto los cuerpos y las risas se apilan delante de ti.,1hr 37 min,https://pluto.tv/on-demand/movies/5e5d796be3406e0013955e4b
Algunas Mujeres,"En la víspera de su boda, un escritor exitoso viaja por todo el país para encontrarse con ex amantes en un intento de reparar las transgresiones de relaciones pasadas.",1hr 29 min,https://pluto.tv/on-demand/movies/5eb16d0dd6ea50001a3152df
The Longshots,"La historia real de Jasmine Plummer, la primera mujer en la historia en jugar al fútbol americano Pop Warner, entrenada por su tío.",1hr 35 min,https://pluto.tv/on-demand/movies/65cf75a35c25f60013a55439
Probable Asesino,"Diez años después de su época dorada, Billy Green (Adam Pally) vuelve a su pueblo natal para Día de Acción de Gracias, desesperado por revivir sus glorias pasadas y reconectar con Kara (Rachel Bloom), su exnovia de la secundaria.",Thriller,https://pluto.tv/on-demand/movies/65cfab129255690013701f45
El Asalto,"Lo que debería haber sido una escapada romántica se convierte en una divertida debacle tras otra cuando la mujer de Michael lo deja en el desierto, donde un adolescente le roba el auto y lo toman de rehén en un asalto en el Sip and Zip local.",1hr 28 min,https://pluto.tv/on-demand/movies/65cf72d53d3e4500143d5fbd
My Big Gay Italian Wedding,"Antonio ha encontrado por fin al amor de su vida, Paolo, con quien vive felizmente en Berlín. Aunque todavía no están seguros de la reacción de sus familias, deciden casarse en Italia, en el pequeño pueblo donde viven los padres de Antonio.",1hr 26 min,https://pluto.tv/on-demand/movies/65ce7a644927ad001451b343
The Champion,"Podría ser cualquier futbolista profesional de 2022. Christian es un futbolista talentoso, imprevisible y rebelde. Tras su última ""metedura de pata"", el presidente de su equipo decide asignarle un tutor personal que le ayude a controlar su temperamento.",1hr 50 min,https://pluto.tv/on-demand/movies/65ce32323d3e45001438e75a
