Título,Descripción,Duración,Enlace
Scream 4,"Con terapia y ayuda, la joven Sidney Prescott (Neve Campbell) ha conseguido dejar atrás todas las muertes que contempló años atrás en su pueblo natal, Woodsboro.",1hr 51 min,https://pluto.tv/on-demand/movies/5f7b872be4b56900138b7983
Lila y Eve,"Lila y Eve dos madres destrozadas por el asesinato de sus hijos, unen fuerzas para vengarse de los traficantes de droga responsables de la muerte del hijo de Lila.Pero a medida que la violencia crece Lila empieza a descubrir la verdadera identidad de Eve.",Thriller,https://pluto.tv/on-demand/movies/5e6ff36e4698db001ab3de55
Terminal,"En una oscura ciudad, dos sicarios intentan cumplir una escalofriante misión. Vince y Alfred tienen la instrucción de permanecer en un hotel hasta que alguien aparezca en una habitación en el edificio de enfrente; solo entonces deben de matarlo.",Thriller,https://pluto.tv/on-demand/movies/63aded948ba71d0013eafbf3
Diario de un seductor,"Paul Kemp es un escritor norteamericano que ha empezado a trabajar como redactor para un periódico caribeño. Su nuevo ambiente, poco a poco, empieza a enrarecerse. Amor, envidia, celos y mucho alcohol son los principales ingredientes del relato.",1hr 59 min,https://pluto.tv/on-demand/movies/5e6a42a7e2fa10001becd0f3
Peligro en la montaña,"Joe Braven es un humilde leñador que vive en la frontera de los Estados Unidos. Cuando es asaltado por un grupo de traficantes de drogas en la recluida cabaña donde vive, hará todo lo que puede para proteger a su familia.",1hr 33 min,https://pluto.tv/on-demand/movies/5f7b879be4b56900138b7fba
Zona de miedo,"En Irak, una unidad de élite de artificieros norteamericanos actúa en una caótica ciudad donde cualquier persona puede ser un enemigo y cualquier objeto, una bomba.",2hr 11 min,https://pluto.tv/on-demand/movies/604b91f9b2b870001a05f1cb
Aceleracion Maxima,"Una madre tiene una noche para hacer algunas tareas en Los Ángeles que requieren un arma, si quiere ver a su hijo con vida. Está retenido por un jefe de la mafia.",1hr 25 min,https://pluto.tv/on-demand/movies/6475fd3091275e001a0599ee
En el Rastro del Asesino,Un policía trabaja para averiguar si un adolescente violento asesinó a su familia.,1hr 41 min,https://pluto.tv/on-demand/movies/641c6c621a5081001a49bf50
Tres Ladrones y un Bebé,"Fong es un ladrón con mala suerte. Con unas habilidades excepcionales, Fong siempre pierde todas sus ganancias en sus robos de apuestas. Su gran oportunidad llega cuando un gángster les pide a él y a su compañero pulpo que secuestren a un importante bebé.",2hr 6 min,https://pluto.tv/on-demand/movies/641c6c5f1a5081001a49be52
La Hora de la Verdad,"El plan de los tres ladrones lo tiene todo para salir adelante -secuestrar al nieto de un millonario y ganar dinero fácil- pero no contaban con el carisma del bebé, lo que enternece el corazón del trío y dificulta la tarea.",2hr 3 min,https://pluto.tv/on-demand/movies/641c6c541a5081001a49ba5c
Balas en Furia,"En la China de la década de 1920, un bandido llega a una remota ciudad de provincia haciéndose pasar por su nuevo alcalde, donde se enfrenta a un tiránico noble local.",2hr 12 min,https://pluto.tv/on-demand/movies/641084fa8a5b2f001398b79b
Una familia peligrosa,Un jefe de la mafia y su familia son trasladados a un pueblo tranquilo en Francia bajo el programa de protección de testigos después de delatar a la mafia.,1hr 51 min,https://pluto.tv/on-demand/movies/6352bdcacba1290014dc1751
Inseparable,"Chuck se inmiscuye en la vida de su vecino Li, un ingeneniero con problemas laborales y personales.",1hr 36 min,https://pluto.tv/on-demand/movies/62cc680618de52001378c4e6
Fire with Fire,"Un bombero fuera de servicio es testigo de un asesinato a manos de una banda de mafiosos. Entra en el programa de protección de testigos hasta que testifique, pero no consigue ocultarse por mucho tiempo de la banda, por lo que decide actuar por su cuenta.",1hr 37 min,https://pluto.tv/on-demand/movies/5dfd2e82be7e53bc0c65d59d
What Just Happened,"Una semana en la vida de Ben, un poderoso productor de Hollywood, mientras hace malabarismos con las negociaciones con un director de estudio para que su última película pueda estrenarse en Cannes en dos semanas.",1hr 44 min,https://pluto.tv/on-demand/movies/62b336542fbef40013892986
Justo a tiempo,"Gene llega a su casa después de asistir al funeral de su exesposa. Al poco tiempo, secuestran a su hija. Recibe una pistola y la tarea de matar a una persona en una hora y quince minutos. De lo contrario, su hija será asesinada.",1hr 29 min,https://pluto.tv/on-demand/movies/5e5d43ed4698db001ab20e82
Mapa a las estrellas,"Un recorrido por el corazón de una familia de Hollywood que persigue a la celebridad, a los demás y a los implacables fantasmas de su pasado.",1hr 51 min,https://pluto.tv/on-demand/movies/6310d43755ecdb0013ce4a55
El árbol de la vida,"La historia de una familia en Waco, Texas en 1956. El hijo mayor es testigo de la pérdida de la inocencia y lucha con las enseñanzas contradictorias de sus padres.",2hr 18 min,https://pluto.tv/on-demand/movies/6310fba36e998c00133133e8
Bus 657: El Escape del Siglo,Un padre no tiene los medios para pagar el tratamiento de su hija. Como último recurso se asocia con un codicioso compañero de trabajo para robar un casino. Cuando las cosas van mal se ven obligados a secuestrar un autobús de la ciudad,1hr 32 min,https://pluto.tv/on-demand/movies/62cc65397abcdc0013991d69
Cloud Atlas,"Una exploración de cómo las acciones de las vidas individuales se impactan entre sí en el pasado, el presente y el futuro, un alma pasa de ser un asesino a convertirse en un héroe, un acto de bondad se extiende para inspirar una revolución",2hr 52 min,https://pluto.tv/on-demand/movies/62cc47bd75b9dc0013c81343
Agora,"Drama histórico sobre un esclavo que se vuelve hacia la creciente ola del cristianismo con la esperanza de buscar la libertad mientras se enamora de su amante, la profesora de filosofía y matemáticas Hipatia de Alejandría.",2hr 6 min,https://pluto.tv/on-demand/movies/62cc479e75b9dc0013c81144
Las Zafiro,"Las Zafiro, cuatro chicas aborígenes australianas que apdrendieron sobre el amor, la amistad y la guerra, cuando Gail, Julie, Cynthia y Kay formaron un grupo musical de entretenimiento para las tropas de Estados Unidos en Vietnam en 1968",1hr 38 min,https://pluto.tv/on-demand/movies/62cc2b8d9f6f4700149305c1
La Batalla de los Malditos,"Después de un brote viral mortal, el soldado militar privado Max Gatling lidera a un puñado de sobrevivientes y una banda heterogénea de robots contra un ejército de infectados.",1hr 28 min,https://pluto.tv/on-demand/movies/62cc230f997d5700138b4e82
El Experimento,Remake de la película alemana de 2001 Das experiment dirigida por Oliver Hirschbiegel. Cuenta la historia de 20 hombres que llegan a una cárcel ficticia buscando la forma de ganar dinero rápido. Deberán participar en un experimento sociológico.,Thriller,https://pluto.tv/on-demand/movies/5f7b87bfe4b56900138b8256
Match Point,un ex tenista profesional se enamora de una actriz que casualmente está saliendo con su amigo y futuro cuñado.,2hr 4 min,https://pluto.tv/on-demand/movies/6310d86b04308c00135df072
El expreso del miedo,"Un experimento para solucionar el calentamiento global acabó matando a la mayoría de la vida existente en el planeta, los únicos sobrevivientes fueron los pasajeros del Snowpiercer.",2hr 6 min,https://pluto.tv/on-demand/movies/5e6a42ace2fa10001becd16f
The English Teacher,"Linda, una profesora de inglés cuya reprimida vida personal convive con un marcado contraste con la pasión que lleva al salón de clases. Su vida cambia cuando el alumno estrella regresa a su pueblo tras fracasar como dramaturgo.",1hr 31 min,https://pluto.tv/on-demand/movies/5f7357c776c54900134c3633
El Gran Impostor,"Ray era un niño prodigio de la pintura. Al igual que su padre, se convirtió en ladrón, y ahora para conservar su libertad debe hacer un último trabajo para las personas que lo ayudaron a salir.",1hr 35 min,https://pluto.tv/on-demand/movies/6141f427bce9e900135a5b29
Nunca me dejes Sola,"Kate es diagnosticada con Esclerosis Múltiple y Bec asume un trabajo ayudando a Kate. En ese momento,el matrimonio de ella con Evan llega al límite, y ambas forman un vínculo poco convencional, a veces conflictivo y ferozmente honesto.",1hr 42 min,https://pluto.tv/on-demand/movies/6141f44dbce9e900135a5e4a
El defensor,Un abogado de defensa tiene una crisis de conciencia cuando se representa a un cliente adinerado que tiene un plan infalible para vencer al sistema.,1hr 58 min,https://pluto.tv/on-demand/movies/5e67ea225cee68001a91ac3e
Por orgullo,"La verdadera e inspiradora historia de Jim Ellis, un carismático maestro de escuela que cambió vidas para siempre cuando fundó un equipo de natación afroamericano en uno de los vecindarios más duros de Filadelfia.",1hr 49 min,https://pluto.tv/on-demand/movies/5fc918182fd74a0014cd910e
Consigue un Trabajo,"Miles Teller, Anna Kendrick y Bryan Cranston protagonizan esta comedia fresca y perversamente divertida sobre conseguir un trabajo en una economía difícil.",1hr 22 min,https://pluto.tv/on-demand/movies/5fc918112fd74a0014cd906d
24 horas para vivir,"Un asesino profesional muere durante uno de sus trabajos, pero es devuelto a la vida por un día para cumplir una importante misión.",1hr 32 min,https://pluto.tv/on-demand/movies/5f7b8695e4b56900138b70c2
Rescate Sangriento,"Un ganster ruso retirado, actualmente escritor de novelas, es tentado a volver a la vida criminal cuando descubre que su hija va a casarse con el hijo de su enemigo.",1hr 38 min,https://pluto.tv/on-demand/movies/60c8abc436537d001332099c
Misión Secreta,Un senador estadounidense es asesinado en Washington por un espía ruso. Un agente de la CIA retirado (Richard Gere) se ve obligado a colaborar con un joven agente del FBI (Topher Grace) para atrapar al criminal.,1hr 38 min,https://pluto.tv/on-demand/movies/5e6ff3694698db001ab3dddf
El transportador 3,Frank Martin es un indiscutible especialista en entregas de alto riesgo. En esta ocasión está obligado bajo amenazas a trasladar dos voluminosas bolsas y una joven ucraniana desde Marsella hasta Odessa,1hr 43 min,https://pluto.tv/on-demand/movies/5e6a42b4e2fa10001becd22d
